hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko,meaning_en,frequency
L3-0779,显示,xiǎnshì,V,3,,,,,,to show; to illustrate; to display; to demonstrate,1030
L3-0780,现场,xiànchǎng,N,3,,,,,,"the scene (of a crime, accident etc); (on) the spot; (at) the site",627
L3-0781,现代,xiàndài,N,3,,,,,,"Hyundai, South Korean company",2512
L3-0782,现金,xiànjīn,N,3,,,,,,cash,2030
L3-0783,现实,xiànshí,N,3,,,,,,reality; actuality; real; actual,1237
L3-0784,现象,xiànxiàng,N,3,,,,,,phenomenon; appearance,2440
L3-0785,线,xiàn,N,3,,,,,,variant of 线,679
L3-0786,相比,xiāngbǐ,V,3,,,,,,to compare,2934
L3-0787,相当,xiāngdāng,Adv/V,3,,,,,,equivalent to; appropriate; considerably; to a certain extent,1139
L3-0788,相关,xiāngguān,V,3,,,,,,related; relevant; pertinent; to be interrelated,1782
L3-0789,相互,xiānghù,Adv,3,,,,,,each other; mutual,2492
L3-0790,相似,xiāngsì,Adj,3,,,,,,similar; alike,4024
L3-0791,香,xiāng,Adj,3,,,,,,fragrant; sweet smelling; aromatic; savory or appetizing,1953
L3-0792,香蕉,xiāngjiāo,N,3,,,,,,banana,5473
L3-0793,消费,xiāofèi,V,3,,,,,,to consume; to spend,4382
L3-0794,消失,xiāoshī,V,3,,,,,,to disappear; to fade away,1528
L3-0795,消息,xiāoxi,N,3,,,,,,news; information,448
L3-0796,效果,xiàoguǒ,N,3,,,,,,result; effect; efficacy; (theater) sound or visual effects,1352
L3-0797,写作,xiězuò,V,3,,,,,,to write; to compose; writing; written works,5219
L3-0798,血,xiě,N,3,,,,,,blood; colloquial pr. [xiě],726
L3-0799,心,xīn,N,3,,,,,,heart; mind; intention; center,291
L3-0800,信,xìn,V,3,,,,,,letter; mail; to trust; to believe,419
L3-0801,信封,xìnfēng,N,3,,,,,,envelope,10268
L3-0802,信任,xìnrèn,V,3,,,,,,to trust; to have confidence in,1963
L3-0803,行李,xíngli,N,3,,,,,,luggage,4886
L3-0804,形成,xíngchéng,V,3,,,,,,to form; to take shape,2335
L3-0805,形式,xíngshì,N,3,,,,,,outer appearance; form; shape; formality,2476
L3-0806,形象,xíngxiàng,N/Adj,3,,,,,,image; form; figure; visualization,2124
L3-0807,形状,xíngzhuàng,N,3,,,,,,form; shape,5839
L3-0808,幸福,xìngfú,Adj/N,3,,,,,,happiness; happy; blessed,928
L3-0809,幸运,xìngyùn,Adj,3,,,,,,fortunate; lucky; fortune; luck,1830
L3-0810,性（积极性）,xìng(jījíxìng),Suffix,3,,,,,,,
L3-0811,性别,xìngbié,N,3,,,,,,gender; sex,6513
L3-0812,性格,xìnggé,N,3,,,,,,nature; disposition; temperament; character,3053
L3-0813,修,xiū,V,3,,,,,,surname Xiu,1778
L3-0814,修改,xiūgǎi,V,3,,,,,,to amend; to alter; to modify,3871
L3-0815,需求,xūqiú,N,3,,,,,,requirement; to require; (economics) demand,3122
L3-0816,需要,xūyào,V/N,3,,,,,,to need; to want; to demand; to require; needs,131
L3-0817,宣布,xuānbù,V,3,,,,,,to declare; to announce; to proclaim,1467
L3-0818,宣传,xuānchuán,V/N,3,,,,,,to disseminate; to give publicity to; propaganda,2072
L3-0819,选手,xuǎnshǒu,N,3,,,,,,athlete; contestant,1025
L3-0820,学费,xuéfèi,N,3,,,,,,tuition fee; tuition,6307
L3-0821,训练,xùnliàn,V/N,3,,,,,,to train; to drill; training,985
L3-0822,压,yā,V,3,,,,,,to press; to push down; to keep under (control); pressure,1672
L3-0823,压力,yālì,N,3,,,,,,pressure,981
L3-0824,烟,yān,N,3,,,,,,cigarette or pipe tobacco; smoke; mist; vapour,2110
L3-0825,眼前,yǎnqián,N,3,,,,,,before one's eyes; now; at present,2549
L3-0826,演,yǎn,V,3,,,,,,to develop; to evolve; to practice; to perform,1613
L3-0827,演唱,yǎnchàng,V,3,,,,,,sung performance; to sing for an audience,3897
L3-0828,演唱会,yǎnchànghuì,N,3,,,,,,vocal recital or concert,3862
L3-0829,演出,yǎnchū,V/N,3,,,,,,to act (in a play); to perform; to put on (a performance); performance,1568
L3-0830,演员,yǎnyuán,N,3,,,,,,actor or actress; performer,1643
L3-0831,羊,yáng,N,3,,,,,,surname Yang,2574
L3-0832,阳光,yángguāng,N,3,,,,,,sunshine; (of personality) upbeat; energetic; transparent (open to public scrutiny),2043
L3-0833,要是,yàoshi,Conj,3,,,,,,(coll.) if,1413
L3-0834,衣架,yījià,N,3,,,,,,clothes hanger; clothes rack,32226
L3-0835,一切,yīqiè,Pron,3,,,,,,everything; every; all,350
L3-0836,已,yǐ,Adv,3,,,,,,already; to stop; then; afterwards,303
L3-0837,以来,yǐlái,N,3,,,,,,since (a previous event),1117
L3-0838,一方面,yīfāngmiàn,N,3,,,,,,on the one hand,7572
L3-0839,艺术,yìshù,N,3,,,,,,art,1488
L3-0840,意外,yìwài,Adj/N,3,,,,,,unexpected; accident; mishap,1703
L3-0841,意义,yìyì,N,3,,,,,,sense; meaning; significance; importance,807
L3-0842,因此,yīncǐ,Conj,3,,,,,,thus; consequently; as a result,668
L3-0843,银,yín,N,3,,,,,,silver; silver-colored; relating to money or currency,2564
L3-0844,银牌,yínpái,N,3,,,,,,silver medal,21103
L3-0845,印象,yìnxiàng,N,3,,,,,,impression (sth that stays in one's mind); a memory,2109
L3-0846,应当,yīngdāng,V,3,,,,,,should; ought to,3391
L3-0847,迎接,yíngjiē,V,3,,,,,,to welcome; to greet,4264
L3-0848,营养,yíngyǎng,N,3,,,,,,nutrition; nourishment,4865
L3-0849,赢,yíng,V,3,,,,,,to beat; to win; to profit,952
L3-0850,影视,yǐngshì,N,3,,,,,,movies and television,12925
L3-0851,应用,yìngyòng,V,3,,,,,,"to put to use; to apply; practical; applied (science, linguistics etc)",5484
L3-0852,优点,yōudiǎn,N,3,,,,,,merit; benefit; strong point; advantage,5641
L3-0853,优势,yōushì,N,3,,,,,,superiority; dominance; advantage,2080
L3-0854,由,yóu,Prep,3,,,,,,to follow; from; because of; due to; by; via; through,353
L3-0855,由于,yóuyú,Prep/Conj,3,,,,,,due to; as a result of; thanks to; owing to,982
L3-0856,邮件,yóujiàn,N,3,,,,,,mail; post; email,3970
L3-0857,邮票,yóupiào,N,3,,,,,,(postage) stamp,9219
L3-0858,邮箱,yóuxiāng,N,3,,,,,,mailbox; post office box; email; email inbox,8497
L3-0859,游,yóu,V,3,,,,,,surname You,2164
L3-0860,游戏,yóuxì,N,3,,,,,,game; to play,603
L3-0861,游泳,yóuyǒng,N/V,3,,,,,,swimming; to swim,3695
L3-0862,有的是,yǒudeshì,,3,,,,,,have plenty of; there's no lack of,14445
L3-0863,有利,yǒulì,Adj,3,,,,,,advantageous; favorable,4172
L3-0864,有效,yǒuxiào,V,3,,,,,,effective; in effect; valid,1379
L3-0865,预报,yùbào,V/N,3,,,,,,forecast,8603
L3-0866,预防,yùfáng,V,3,,,,,,to prevent; to take precautions against; to protect; to guard against,5185
L3-0867,预计,yùjì,V,3,,,,,,to forecast; to predict; to estimate,3808
L3-0868,预习,yùxí,V,3,,,,,,to prepare a lesson,36044
L3-0869,员（服务员）,yuán (fúwùyuán),Suffix,3,,,,,,,
L3-0870,员工,yuángōng,N,3,,,,,,staff; personnel; employee,1852
L3-0871,愿望,yuànwàng,N,3,,,,,,desire; wish,2889
L3-0872,约,yuē,V,3,,,,,,to make an appointment; to invite; approximately; pact,797
L3-0873,乐队,yuèduì,N,3,,,,,,band; pop group,3860
L3-0874,运输,yùnshū,V,3,,,,,,to transport; to carry; transportation,3770
L3-0875,杂志,zázhì,N,3,,,,,,magazine,1627
L3-0876,早已,zǎoyǐ,Adv,3,,,,,,for a long time; long since; (dialect) in the past,4715
L3-0877,造,zào,V,3,,,,,,to make; to build; to manufacture; to invent,2608
L3-0878,造成,zàochéng,V,3,,,,,,to bring about; to create; to cause,910
L3-0879,责任,zérèn,N,3,,,,,,responsibility; blame; duty,935
L3-0880,增加,zēngjiā,V,3,,,,,,to raise; to increase,1419
L3-0881,增长,zēngzhǎng,V,3,,,,,,to grow; to increase,3521
L3-0882,展开,zhǎnkāi,,3,,,,,,to unfold; to spread out; to open up; to launch; to carry out,3065
L3-0883,张,zhāng,M/V,3,,,,,,surname Zhang,316
L3-0884,照,zhào,V/Prep,3,,,,,,variant of 照; to shine; to illuminate,1165
L3-0885,者（志愿者）,zhě (zhìyuànzhě),Suffix,3,,,,,,,
L3-0886,真实,zhēnshí,Adj,3,,,,,,true; real,1299
L3-0887,争,zhēng,V,3,,,,,,to strive for; to vie for; to argue or debate; deficient or lacking (dialect),2989
L3-0888,争取,zhēngqǔ,V,3,,,,,,to fight for; to strive for; to win over,2213
L3-0889,整,zhěng,Adj/V,3,,,,,,exactly; in good order; whole; complete,1315
L3-0890,整个,zhěnggè,Adj,3,,,,,,whole; entire; total,572
L3-0891,整理,zhěnglǐ,V,3,,,,,,to arrange; to tidy up; to sort out; to straighten out,2737
L3-0892,整齐,zhěngqí,Adj,3,,,,,,orderly; neat; even; tidy,8739
L3-0893,整体,zhěngtǐ,N,3,,,,,,"whole entity; entire body; synthesis; as a whole (situation, construction, team etc)",4225
L3-0894,整天,zhěngtiān,N,3,,,,,,all day long; whole day,3492
L3-0895,整整,zhěngzhěng,Adv,3,,,,,,whole; full,4509
L3-0896,正,zhèng,Adj,3,,,,,,straight; upright; proper; main,294
L3-0897,正式,zhèngshì,Adj,3,,,,,,formal; official,1215
L3-0898,证,zhèng,N,3,,,,,,to admonish; variant of 证,1605
L3-0899,证件,zhèngjiàn,N,3,,,,,,certificate; papers; credentials; document; ID,5876
L3-0900,证据,zhèngjù,N,3,,,,,,evidence; proof; testimony,1826
L3-0901,证明,zhèngmíng,V/N,3,,,,,,proof; certificate; identification; testimonial,838
L3-0902,支,zhī,M,3,,,,,,surname Zhi,915
L3-0903,支持,zhīchí,V,3,,,,,,to be in favor of; to support; to back; support,546
L3-0904,支付,zhīfù,V,3,,,,,,to pay (money),2724
L3-0905,只,zhī,M,3,,,,,,grain that has begun to ripen,98
L3-0906,直,zhí,Adj/V/Adv,3,,,,,,"surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 帝 descended from Shennong 神农 Farmer God",1420
L3-0907,直播,zhíbō,V,3,,,,,,"(TV, radio) to broadcast live; live broadcast; (Internet) to livestream; (agriculture) direct seeding",3374
L3-0908,直到,zhídào,V,3,,,,,,until,1292
L3-0909,值,zhí,V,3,,,,,,value; (to be) worth; to happen to; to be on duty,1322
L3-0910,值得,zhídé,,3,,,,,,to be worth; to deserve,1037
L3-0911,职工,zhígōng,N,3,,,,,,workers; staff,8810
L3-0912,职业,zhíyè,N,3,,,,,,occupation; profession; vocation; professional,1317
L3-0913,只好,zhǐhǎo,Adv,3,,,,,,to have no other option but to ...; to have to; to be forced to,3132
L3-0914,只是,zhǐshì,Adv/Conj,3,,,,,,merely; only; just; nothing but; simply; but; however,236
L3-0915,只有,zhǐyǒu,Conj,3,,,,,,"only have ...; there is only ...; (used in combination with 才) it is only if one ... (that one can ...) (Example: 只有通过治疗才能痊愈 ""the only way to cure it is with therapy""); it is only ... (who ...) (Example: 要 ""only men would have such a requirement"")",374
L3-0916,指,zhǐ,V,3,,,,,,finger; to point at or to; to indicate or refer to; to depend on,639
L3-0917,指出,zhǐchū,,3,,,,,,to indicate; to point out,2661
L3-0918,指导,zhǐdǎo,V,3,,,,,,to guide; to give directions; to direct; to coach,2171
L3-0919,至今,zhìjīn,Adv,3,,,,,,so far; to this day; until now,3155
L3-0920,至少,zhìshǎo,Adv,3,,,,,,at least; (to say the) least,868
L3-0921,志愿,zhìyuàn,N,3,,,,,,aspiration; ambition; to volunteer,8766
L3-0922,志愿者,zhìyuànzhě,N,3,,,,,,volunteer,5709
L3-0923,制定,zhìdìng,V,3,,,,,,to draw up; to formulate,3364
L3-0924,制度,zhìdù,N,3,,,,,,"system (e.g. political, adminstrative etc); institution",3310
L3-0925,制造,zhìzào,V,3,,,,,,to manufacture; to make,1600
L3-0926,制作,zhìzuò,V,3,,,,,,to make; to manufacture,1835
L3-0927,中部,zhōngbù,N,3,,,,,,middle part; central section,6364
L3-0928,中华民族,Zhōnghuá Mínzú,,3,,,,,,the Chinese nation; the Chinese people (collective reference to all the ethnic groups in China),6125
L3-0929,终于,zhōngyú,Adv,3,,,,,,at last; in the end; finally; eventually,625
L3-0930,钟,zhōng,N,3,,,,,,surname Zhong,1714
L3-0931,种,zhǒng,M,3,,,,,,seed; species; kind; type,179
L3-0932,种子,zhǒngzi,N,3,,,,,,seed,5365
L3-0933,重大,zhòngdà,Adj,3,,,,,,great; important; major; significant,1734
L3-0934,周围,zhōuwéi,N,3,,,,,,environs; surroundings; periphery,1649
L3-0935,猪,zhū,N,3,,,,,,hog; pig; swine,1583
L3-0936,主持,zhǔchí,V,3,,,,,,to take charge of; to manage or direct; to preside over; to uphold,3176
L3-0937,主动,zhǔdòng,Adj,3,,,,,,to take the initiative; to do sth of one's own accord; spontaneous; active,2470
L3-0938,主任,zhǔrèn,N,3,,,,,,director; head,2133
L3-0939,主意,zhǔyi,N,3,,,,,,plan; idea; decision; Beijing pr. [zhú yi],3584
L3-0940,主张,zhǔzhāng,V/N,3,,,,,,to advocate; to stand for; view; position,6498
L3-0941,注意,zhùyì,,3,,,,,,to take note of; to pay attention to,547
L3-0942,祝,zhù,V,3,,,,,,surname Zhu,1197
L3-0943,抓,zhuā,V,3,,,,,,to grab; to catch; to arrest; to snatch,797
L3-0944,抓住,zhuāzhù,,3,,,,,,to grab hold of; to capture,1500
L3-0945,专家,zhuānjiā,N,3,,,,,,expert; specialist,1096
L3-0946,专门,zhuānmén,Adv,3,,,,,,specialist; specialized; customized,2288
L3-0947,专题,zhuāntí,N,3,,,,,,"specific topic (addressed by a book, lecture, TV program etc); article, report or program etc on a specific topic",10707
L3-0948,专业,zhuānyè,N,3,,,,,,specialty; specialized field; main field of study (at university); major,1146
L3-0949,转,zhuǎn,V,3,,,,,,to turn; to change direction; to transfer; to forward (mail),508
L3-0950,转变,zhuǎnbiàn,V,3,,,,,,to change; to transform; shift; transformation,3151
L3-0951,状况,zhuàngkuàng,N,3,,,,,,condition; state; situation,1372
L3-0952,状态,zhuàngtài,N,3,,,,,,condition; state; state of affairs,1158
L3-0953,追,zhuī,V,3,,,,,,to chase; to pursue; to look into; to investigate,1265
L3-0954,准,zhǔn,Adj/Adv,3,,,,,,to allow; to grant; in accordance with; in the light of,1396
L3-0955,资格,zīgé,N,3,,,,,,qualifications; seniority,2290
L3-0956,资金,zījīn,N,3,,,,,,funds; capital,1851
L3-0957,子女,zǐnǚ,N,3,,,,,,children; sons and daughters,7337
L3-0958,自从,zìcóng,Prep,3,,,,,,since (a time); ever since,2256
L3-0959,自动,zìdòng,Adj/Adv,3,,,,,,automatic; voluntarily,2365
L3-0960,自觉,zìjué,Adj,3,,,,,,conscious; aware; on one's own initiative; conscientious,7977
L3-0961,自然,zìrán,N/Adj/Adv,3,,,,,,nature; natural; naturally,929
L3-0962,自身,zìshēn,N,3,,,,,,itself; oneself; one's own,3490
L3-0963,自主,zìzhǔ,V,3,,,,,,independent; to act for oneself; autonomous,6858
L3-0964,总,zǒng,Adv,3,,,,,,general; overall; to sum up; in every case; always; invariably; anyway; after all; eventually; sooner or later,335
L3-0965,总结,zǒngjié,V/N,3,,,,,,to sum up; to conclude; summary; résumé,4753
L3-0966,总是,zǒngshì,Adv,3,,,,,,always,638
L3-0967,足够,zúgòu,V,3,,,,,,enough; sufficient,1692
L3-0968,足球,zúqiú,N,3,,,,,,soccer ball; a football; soccer; football,2550
L3-0969,组合,zǔhé,V,3,,,,,,to assemble; to combine; to compose; combination,2208
L3-0970,左右,zuǒyòu,N/V,3,,,,,,left and right; nearby; approximately; attendant,1351
L3-0971,作品,zuòpǐn,N,3,,,,,,work (of art); opus,1381
L3-0972,作者,zuòzhě,N,3,,,,,,author; writer,2796
L3-0973,做客,zuòkè,,3,,,,,,to be a guest or visitor,13383
